[[ 2.70291644e+02  6.61960634e+01]
 [-1.14084935e+02  2.08200955e+02]
 [ 1.38261970e+02  9.79644473e+01]
 [ 8.21203452e+01  1.28324302e+02]
 [-6.70488205e+01  1.75784878e+02]
 [-6.47279575e+01  1.29540413e+02]
 [-1.60748166e+01  1.44843357e+02]
 [-1.79714897e+02  1.96165553e+02]
 [ 1.76269553e+02  1.00173580e+02]
 [-1.54076833e+01 -5.64748124e+01]
 [ 2.56337099e+02  6.62380127e+01]
 [ 7.52877073e+01  1.29259799e+02]
 [ 1.51916699e+02  1.03674608e+02]
 [-1.74036881e+01 -1.09809931e+02]
 [-2.17281661e+02  2.09410434e+02]
 [ 1.84961277e+02  8.31168771e+01]
 [ 1.23365618e+02  9.42965851e+01]
 [ 1.53526893e+02  8.46167054e+01]
 [-6.59803508e+01  1.65330660e+02]
 [ 2.27066131e+02  5.06131500e+01]
 [-8.59372556e+01  4.36002296e+01]
 [-1.08302436e+02  2.67706031e+02]
 [ 3.74017943e+01  9.53040013e+01]
 [-4.72716793e+01  1.28126732e+02]
 [-1.46885138e+02  2.21918727e+02]
 [ 1.02037853e+02  9.67509898e+01]
 [-1.33901648e+02  2.02350215e+02]
 [-1.11091234e+02  8.07504808e+01]
 [-5.84119092e+01  6.94677680e+01]
 [ 2.21336711e+02  5.03866467e+01]
 [-5.38796849e+01  9.53086455e+01]
 [ 5.59332436e+01  1.70401972e+02]
 [ 9.25339619e+01  1.04219969e+02]
 [ 8.20028631e+01  1.18758781e+02]
 [-4.63319804e+01 -1.37313845e+01]
 [-1.35995923e+02  1.27908488e+02]
 [-9.69192995e+01  1.53357321e+02]
 [-6.60321213e+01  3.49155839e+01]
 [-2.42653273e+01  2.67969168e+01]
 [-6.67136986e+01  1.34636713e+02]
 [ 1.93608760e+02  6.67385803e+01]
 [-4.00124999e+01  9.18946283e+01]
 [ 1.56397387e+02  7.65079200e+01]
 [-1.79315910e+02  2.00280596e+02]
 [-7.86893070e+01  2.12847989e+01]
 [ 9.19363052e+01  1.13205620e+02]
 [-9.10253654e+01  3.55508486e+01]
 [-6.28012325e+01  3.69231574e+01]
 [-1.53994858e+02  8.16192639e+01]
 [ 5.64925021e+01 -4.19649782e+01]
 [ 2.03261375e+02  9.63564703e+01]
 [ 1.04063241e+02  1.03482094e+02]
 [ 2.05567639e+02  4.09177376e+01]
 [-1.01688066e+02  9.95204689e+01]
 [-2.26306767e+02  1.55565936e+02]
 [ 1.72278037e+02  1.05884837e+02]
 [-5.82072413e+01  3.14693271e+01]
 [-1.46758540e+02  1.76059295e+02]
 [-1.98069948e+02  2.76443983e+02]
 [ 1.71973185e+02  8.59123377e+01]
 [-4.58944100e+01  4.90542799e+01]
 [ 1.12254929e+02  1.28205478e+02]
 [-1.20798037e+02  5.59811686e+01]
 [-1.81429150e+01  1.54048177e+02]
 [-7.87648386e+01  1.65385383e+02]
 [ 1.59573063e+02  7.26556334e+01]
 [-2.64706090e+00  7.85108550e+01]
 [-3.72537631e+01 -1.14032412e+01]
 [-1.60653038e+02  1.38414568e+02]
 [-1.90195372e+02  1.01890224e+02]
 [ 1.23199309e+02  7.71244409e+01]
 [-1.44113480e+02  2.09861494e+02]
 [-2.00576442e+02  2.14275977e+02]
 [ 1.93165791e+02  6.92967897e+01]
 [ 2.84330934e+02  3.48764867e+01]
 [ 4.43097289e+01  1.24579573e+02]
 [-8.52062039e+01  1.29955760e+02]
 [-3.92487785e+01  8.76757714e+01]
 [-9.73431737e+01  3.07888805e-02]
 [-8.07103421e+01  1.22849859e+02]
 [ 4.26174433e+00  1.11725163e+02]
 [-1.79397180e+02  1.67047013e+02]
 [-1.13249314e+02  1.61330786e+02]
 [-6.75595059e+01  1.42563477e+02]
 [ 2.11240725e+02  8.71412243e+01]
 [-4.82887065e+01  2.59991741e+01]
 [ 2.79913936e+02  4.33432384e+01]
 [-1.67589584e+02  1.65038624e+02]
 [ 1.16473151e+02  1.15767762e+02]
 [-6.62509833e+01  3.88223058e+01]
 [ 2.61100355e+02  5.14329655e+01]
 [-7.81205459e+01  7.38856455e+01]
 [-1.78099862e+02  1.76659562e+02]
 [-7.98358340e+01  1.89977029e+02]
 [-2.30604442e+01  1.28138294e+02]
 [ 4.42410377e+01  1.30209030e+02]
 [-5.05847123e+01  8.89095318e+01]
 [-2.24183649e+02  1.67894003e+02]
 [-1.40750455e+02  1.66228420e+02]
